Thu Nov 16 16:50:30 2023
data_dict: {'mean': array([83.93362 , 92.55297 , 91.47328 , 74.63291 , 28.445953],
      dtype=float32), 'std': array([47.080837, 50.655468, 56.94334 , 49.649784, 10.984235],
      dtype=float32), 'classWeights': array([2.727278 , 2.19231  , 4.0622845], dtype=float32), 'img_shape': (512, 512, 5)}
epoch: 4 iter: 73 train_iter_loss: 0.162229 learn_rate: 0.000333 
epoch: 4 iter: 74 train_iter_loss: 0.173687 learn_rate: 0.000333 
epoch: 4 iter: 75 train_iter_loss: 0.196725 learn_rate: 0.000333 
epoch: 4 iter: 76 train_iter_loss: 0.155292 learn_rate: 0.000333 
epoch: 4 iter: 77 train_iter_loss: 0.193308 learn_rate: 0.000333 
epoch: 4 iter: 78 train_iter_loss: 0.204515 learn_rate: 0.000333 
epoch: 4 train_epoch_loss: 0.186331 learn_rate: 0.000333 test_p: 0.456394 test_r: 0.517431 test_f: 0.463994
epoch: 5 iter: 1 train_iter_loss: 0.174679 learn_rate: 0.000333 
epoch: 5 iter: 2 train_iter_loss: 0.190972 learn_rate: 0.000333 
epoch: 5 iter: 3 train_iter_loss: 0.187649 learn_rate: 0.000333 
epoch: 5 iter: 4 train_iter_loss: 0.176958 learn_rate: 0.000333 
epoch: 5 iter: 5 train_iter_loss: 0.181873 learn_rate: 0.000333 
